MI0000092	hsa-mir-91 	hsa-mir-91-13 	MI0000071 	miR-91 is expressed from the 5' arm of the mir-17 precursor hairpin. 
MI0005255	osa-MIR819d 		MI0005255 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005256	osa-MIR819e 		MI0005256 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005257	osa-MIR819f 		MI0005257 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005258	osa-MIR819g 		MI0005258 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005259	osa-MIR819h 		MI0005259 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005260	osa-MIR819i 		MI0005260 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005261	osa-MIR819j 		MI0005261 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005262	osa-MIR819k 		MI0005262 	The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0006188	tae-MIR1126 		MI0006188 	MIR1126 and MIR1132 are related to the MIR8080/809/819 family. The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0016744	hvu-MIR1126 		MI0016744 	MIR1126 and MIR1132 are related to the MIR8080/809/819 family. The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0006194	tae-MIR1132 		MI0006194 	MIR1126 and MIR1132 are related to the MIR8080/809/819 family. The pattern of reads that map to the MIR808/809/819 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005230	osa-MIR811a 		MI0005230 	The pattern of reads that map to the MIR811/MIR2862 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005231	osa-MIR811b 		MI0005231 	The pattern of reads that map to the MIR811/MIR2862 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0005232	osa-MIR811c 		MI0005232 	The pattern of reads that map to the MIR811/MIR2862 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0017250	osa-MIR811d 		MI0017250 	The pattern of reads that map to the MIR811/MIR2862 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0013024	osa-MIR2862 		MI0013024 	The pattern of reads that map to the MIR811/MIR2862 loci from deep sequencing experiments is more consistent with rasiRNA rather than miRNA processing. The miRNA annotation is therefore likely to be incorrect (Chen et al., RNA Biol. 8:538-547). 
MI0014337	bmo-mir-3281 		MI0014337 	The pattern of reads from deep sequencing experiments that map to this locus does not support the annotation of mir-3281 as a microRNA. The entry is therefore removed from the database. 
MI0014440	bmo-mir-3379 		MI0014440 	The pattern of reads from deep sequencing experiments that map to this locus does not support the annotation of mir-3379 as a microRNA. The entry is therefore removed from the database. 
MI0021589	mmu-mir-6242 		MI0021589 	miR-6242 is a fragment of the precursor 45S rRNA, and so is removed from the database. 
MI0010832	mmu-mir-2182 		MI0010832 	miR-2182 is a fragment of the precursor 45S rRNA, and so is removed from the database. 
MI0019410	dme-mir-5613 		MI0019410 	The pattern of reads mapping to this locus from collated deep sequencing experiments is not consistent with microRNA processing by Drosha and Dicer. The sequence is therefore removed from miRBase. 
MI0019411	dme-mir-5614 		MI0019411 	The pattern of reads mapping to this locus from collated deep sequencing experiments is not consistent with microRNA processing by Drosha and Dicer. The sequence is therefore removed from miRBase. 
MI0018010	mmu-mir-5102 		MI0018010 	The sequence annotated as mir-5102 is 80% identical to an annotated 28S rRNA sequence (Refseq:NR_003279.1), and is therefore very unlikely to be a miRNA. The sequence is removed from the database. 
MI0004496	mmu-mir-P1162 		MI0004496 	Delete Berezikov candidate 
MI0003800	hsa-mir-P716 		MI0003800 	Berezikov RAKE candidate 
MI0023505	hco-let-7 		MI0020169 	Likely not the true let-7 sequence (Winter AD, pers comm). Removed from the database in favour of the overlapping mir-5991 sequence. 
MI0011537	bta-mir-2476 		MI0011537 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0017998	ssc-mir-2476a-1 		MI0017998 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0017999	ssc-mir-2476a-2 		MI0017999 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0018000	ssc-mir-2476a-3 		MI0018000 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0022165	ssc-mir-2476b-1 		MI0022165 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0022166	ssc-mir-2476b-2 		MI0022166 	The genomic region flanking the predicted mir-2476 hairpin is annotated as a tRNA by both Rfam and tRNAscan-SE. The mature sequence also matches fragments of tRNAs from the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0018020	mmu-mir-5111 		MI0018020 	The annotated mature miR-5111 sequence appears to be a fragment of tRNAs annotated in the SILVA database. The miRNA annotation is therefore removed from miRBase. 
MI0019039	osa-MIR5520 		MI0019039 	The pattern of RNAseq reads mapped to this locus do not support the annotation of a microRNA, and the structure of the flanking regions is not a simple hairpin. The annotation is removed from miRBase. 
MI0021722	gma-MIR6298 		MI0021722 	The mature sequence annotated as miR6298 appears to be a fragment of an Ala(TGC) tRNA, so is removed from the database. 
MI0004550	mmu-mir-P864 		MI0004550 	Berezikov candidate 
MI0013950	api-mir-971-2 		MI0013949 	Two previously annotated mir-971 entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0013978	api-mir-3034-2 		MI0013977 	Two previously annotated mir-3034 entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0013916	api-mir-210-2 		MI0013915 	Two previously annotated mir-210 entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0013952	api-mir-996-2 		MI0013951 	Two previously annotated mir-996 entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0013931	api-mir-307-2 		MI0013930 	Two previously annotated mir-307 entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0014014	api-mir-3015c-2 		MI0014013 	Two previously annotated mir-3015c entries map to the same locus in the AphidBase2 genome assembly, and so are merged. 
MI0017890	ath-MIR5015b 		MI0017883 	Two previously annotated MIR5015 entries map to the same locus in the TAIR10 genome assembly, and so are merged. 
MI0017960	bdi-MIR5062b 		MI0017959 	Two previously annotated MIR5062 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018217	bdi-MIR390b 		MI0018085 	Two previously annotated MIR390 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018237	bdi-MIR396f 		MI0018125 	Two previously annotated MIR396 (b and f) entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018099	bdi-MIR397b 		MI0011565 	Two previously annotated MIR397 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018228	bdi-MIR398c 		MI0018116 	Two previously annotated MIR398 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018214	bdi-MIR164d 		MI0018094 	Two previously annotated MIR164 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0018218	bdi-MIR395i 		MI0018088 	Two previously annotated MIR395 entries map to the same locus in the v1.0 genome assembly, and so are merged. 
MI0017616	bfl-mir-4862b 		MI0017615 	Two previously annotated mir-4862 entries map to the same locus in the JGI2.0 genome assembly, and so are merged. 
MI0017655	bfl-mir-4885b 		MI0017654 	Two previously annotated mir-4885 entries map to the same locus in the JGI2.0 genome assembly, and so are merged. 
MI0017671	bfl-mir-4897b 		MI0017670 	Two previously annotated mir-4897 entries map to the same locus in the JGI2.0 genome assembly, and so are merged. 
MI0021698	gma-MIR166v 		MI0021698 	The locus annotated as MIR166v is a low complexity sequence that maps many times to the genome, and the putative hairpin structure is not consistent with miRNA processing. The sequence is therefore removed from the database. 
MI0022278	bta-mir-1839b 		MI0010473 	Two previously annotated mir-1839 entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0012210	bta-mir-219-2 		MI0009781 	Two previously annotated mir-219 entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0022312	bta-mir-2285m-6 		MI0022276 	Two previously annotated mir-2285m entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0022316	bta-mir-2285m-7 		MI0022309 	Two previously annotated mir-2285m entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0011422	bta-mir-2384-2 		MI0011421 	Two previously annotated mir-2384 entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0011489	bta-mir-2424-2 		MI0011474 	Two previously annotated mir-2424 entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0013078	bta-mir-2902-2 		MI0013077 	Two previously annotated mir-2909 entries map to the same locus in the UMD3.1 genome assembly, and so are merged. 
MI0011499	bta-mir-2445 		MI0011499 	The previously annotated mir-2445 sequence does not adopt a strong miRNA-like hairpin structure, and the mature sequence does not match exactly in the UMD3.1 genome assembly. The entry is therefore removed. 
MI0015552	cin-mir-4010-2 		MI0015551 	Two previously annotated mir-4010 entries map to the same locus in the JGI2 genome assembly, and so are merged. 
MI0015503	cin-mir-4000a-3 		MI0015504 	Three previously annotated mir-4000a entries map to two loci in the JGI2 genome assembly, and so are merged. 
MI0013616	cqu-mir-1890-2 		MI0013615 	Two previously annotated mir-1890 entries map to a single locus in the CpipJ1 genome assembly, and so are merged. 
MI0013595	cqu-mir-92-2 		MI0013594 	Two previously annotated mir-92 entries map to a single locus in the CpipJ1 genome assembly, and so are merged. 
MI0010097	cte-mir-79 		MI0010052 	The previously annotated mir-9 and mir-79 entries map to a single locus in the JGI1.0 genome assembly, and so are merged. 
MI0012249	dpu-mir-79 		MI0012252 	The previously annotated mir-9 and mir-79 entries map to a single locus in the JGI1.0 genome assembly, and so are merged. 
MI0003261	fru-mir-142b 		MI0003223 	Two previously annotated mir-142 entries map to a single locus in the FUGU5 genome assembly, and so are merged. 
MI0003375	fru-mir-181b-2 		MI0003331 	Two previously annotated mir-181b entries map to a single locus in the FUGU5 genome assembly, and so are merged. 
MI0015965	gga-mir-146c-2 		MI0007561 	Two previously annotated mir-146c entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0003697	gga-mir-147-2 		MI0003696 	Two previously annotated mir-147 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007294	gga-mir-1569-1 		MI0007295 	Two previously annotated mir-1569 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007337	gga-mir-1609-2 		MI0007336 	Two previously annotated mir-1609 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007342	gga-mir-1613-2 		MI0007341 	Two previously annotated mir-1613 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007387	gga-mir-1654-2 		MI0007386 	Two previously annotated mir-1654 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007465	gga-mir-1727-2 		MI0007464 	Two previously annotated mir-1727 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0005000	gga-mir-757-2 		MI0004999 	Two previously annotated mir-757 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007485	gga-mir-1745-2 		MI0007484 	Two previously annotated mir-1745 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0015966	gga-mir-222-2 		MI0001177 	Two previously annotated mir-222 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0007495	gga-mir-1753-2 		MI0007494 	Two previously annotated mir-1753 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0015392	gga-mir-3538-2 		MI0015391 	Two previously annotated mir-3538 entries map to a single locus in the GalGal4 genome assembly, and so are merged. 
MI0017872	hsa-mir-4482-2 		MI0016843 	Two previously annotated mir-4482 entries map to one locus in the GRCh37 genome assembly, so are merged. 
MI0010841	dre-mir-2190-1 		MI0010841 	The mature miR-2190 sequence matches a fragment of LSU rRNA, and the pattern of reads derived from the locus is not consistent with microRNA processing (Wei et al. RNA 2012 18:915-929). 
MI0019586	dre-mir-2190-2 		MI0019586 	The mature miR-2190 sequence matches a fragment of LSU rRNA, and the pattern of reads derived from the locus is not consistent with microRNA processing (Wei et al. RNA 2012 18:915-929). 
MI0019587	dre-mir-2190-3 		MI0019587 	The mature miR-2190 sequence matches a fragment of LSU rRNA, and the pattern of reads derived from the locus is not consistent with microRNA processing (Wei et al. RNA 2012 18:915-929). 
MI0019588	dre-mir-2190-4 		MI0019588 	The mature miR-2190 sequence matches a fragment of LSU rRNA, and the pattern of reads derived from the locus is not consistent with microRNA processing (Wei et al. RNA 2012 18:915-929). 
MI0020960	mes-MIR160 		MI0020960 	This sequence is not present in the Cassava4 genome assembly.  Patanun et al. (2012) have predicted MIR166 family members based  on the updated genome assembly, so this sequence is removed. 
MI0020961	mes-MIR166 		MI0020961 	This sequence is not present in the Cassava4 genome assembly. Patanun et al. (2012) have predicted MIR166 family members based on the updated genome assembly, so this sequence is removed. 
MI0018013	mmu-mir-5105 		MI0018013 	The annotated miR-5105 sequence has been shown to derive from a fragment of LSU rRNA (Castellano and Stebbing, NAR 2013, PMID:23325850) and is removed from the database. 
MI0019608	sha-mir-5105 		MI0019608 	The annotated miR-5105 sequence has been shown to derive from a fragment of LSU rRNA (Castellano and Stebbing, NAR 2013, PMID:23325850) and is removed from the database. 
MI0018018	mmu-mir-5109 		MI0018018 	The annotated miR-5109 sequence has been shown to derive from a fragment of LSU rRNA (Castellano and Stebbing, NAR 2013, PMID:23325850) and is removed from the database. 
MI0018005	mmu-mir-5097 		MI0018005 	The sequence annotated as miR-5097 derives from a fragment of a tRNA, and is neither processed by Dicer nor loaded into Ago2 (Castellano and Stebbing, NAR 2013, PMID:23325850). It is therefore likely a misannotation. 
MI0009962	mmu-mir-1965 		MI0009962 	The sequences annotated as miR-1965, miR-1935, miR-1186 and miR-1196 have been shown to derive from DGCR8-independent processing of a long hairpin formed by a transcribed Alu/B1 SINE element (Castellano and Stebbing, NAR 2013, PMID:23325850). These sequences are therefore likely to be mis-annotations. 
MI0009924	mmu-mir-1935 		MI0009924 	The sequences annotated as miR-1965, miR-1935, miR-1186 and miR-1196 have been shown to derive from DGCR8-independent processing of a long hairpin formed by a transcribed Alu/B1 SINE element (Castellano and Stebbing, NAR 2013, PMID:23325850). These sequences are therefore likely to be mis-annotations. 
MI0006284	mmu-mir-1186a 		MI0006284 	The sequences annotated as miR-1965, miR-1935, miR-1186 and miR-1196 have been shown to derive from DGCR8-independent processing of a long hairpin formed by a transcribed Alu/B1 SINE element (Castellano and Stebbing, NAR 2013, PMID:23325850). These sequences are therefore likely to be mis-annotations. 
MI0014705	mmu-mir-1186b 		MI0014705 	The sequences annotated as miR-1965, miR-1935, miR-1186 and miR-1196 have been shown to derive from DGCR8-independent processing of a long hairpin formed by a transcribed Alu/B1 SINE element (Castellano and Stebbing, NAR 2013, PMID:23325850). These sequences are therefore likely to be mis-annotations. 
MI0006304	mmu-mir-1196 		MI0006304 	The sequences annotated as miR-1965, miR-1935, miR-1186 and miR-1196 have been shown to derive from DGCR8-independent processing of a long hairpin formed by a transcribed Alu/B1 SINE element (Castellano and Stebbing, NAR 2013, PMID:23325850). These sequences are therefore likely to be mis-annotations. 
MI0018024	mmu-mir-5115 		MI0018024 	The annotated miR-5115 sequence has been shown to derive from a fragment of LSU rRNA (Castellano and Stebbing, NAR 2013, PMID:23325850) and is removed from the database. 
MI0018026	mmu-mir-5117 		MI0018026 	The abundance of reads mapping to the miR-5117 sequence has been shown to be independent of Dicer and DGCR8, and the sequences are not found in Ago2 IP experiments (Castellano and Stebbing, NAR 2013, PMID:23325850). It is therefore likely a misannotation. 
MI0014089	mmu-mir-3096a 		MI0014089 	The abundance of reads mapping to the miR-3096 sequence has been shown to be independent of Dicer and DGCR8, and the sequences are not found in Ago2 IP experiments (Castellano and Stebbing, NAR 2013, PMID:23325850). It is therefore likely a misannotation. 
MI0016969	mmu-mir-3096b 		MI0016969 	The abundance of reads mapping to the miR-3096 sequence has been shown to be independent of Dicer and DGCR8, and the sequences are not found in Ago2 IP experiments (Castellano and Stebbing, NAR 2013, PMID:23325850). It is therefore likely a misannotation. 
MI0007509	gga-mir-1766-2 		MI0007508 	The previously annotated mir-1766-1 and mir-1766-2 loci map to the same location in the Gallus-gallus-4 assembly, so are merged. 
MI0005628	mtr-MIR166h 		MI0001740 	MIR166a and MIR166h map to the same locus in the Mt3.5.2 genome assembly, so the entries are merged. 
MI0001742	mtr-MIR169b 		MI0001741 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005624	mtr-MIR169i 		MI0005623 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005630	mtr-MIR169m 		MI0005579 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005631	mtr-MIR169l 		MI0005578 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005632	mtr-MIR169k 		MI0005577 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005636	mtr-MIR169n 		MI0005623 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0005637	mtr-MIR169o 		MI0005623 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0019683	mtr-MIR169r 		MI0005623 	The mtr-MIR169 entries in miRBase 19 map to only 11 loci in the MT3.5.2 genome assembly. The entries have therefore been rationalised and merged in miRBase 20, and some loci renamed. 
MI0012051	mtr-MIR2088b 		MI0010545 	The two MIR2088 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly so are merged in miRBase 20. 
MI0011871	mtr-MIR2585e 		MI0011870 	The 2 MIR2585 sequences in miRBase 19 map to one locus in the MT3.5.2 genome assembly, so are merged. 
MI0011835	mtr-MIR2111g 		MI0011841 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011837	mtr-MIR2111i 		MI0011836 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011904	mtr-MIR2111b 		MI0019095 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011840	mtr-MIR2111l 		MI0011839 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011906	mtr-MIR2111d 		MI0011843 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011845	mtr-MIR2111q 		MI0011844 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011903	mtr-MIR2111a 		MI0019095 	The MIR2111 loci in miRBase 19 overlap in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20, leading to several entries being renamed. 
MI0011831	mtr-MIR2594b 		MI0011830 	Two MIR2594 sequences map to the same locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011864	mtr-MIR2609c 		MI0011862 	Two MIR2609 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011873	mtr-MIR2612b 		MI0011872 	Two MIR2612 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011892	mtr-MIR2624b 		MI0011891 	Two MIR2624 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011955	mtr-MIR2640b 		MI0011954 	Two MIR2640 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011960	mtr-MIR2644b 		MI0011959 	Two MIR2644 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0012005	mtr-MIR2657b 		MI0012004 	Two MIR2657 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0012014	mtr-MIR2660b 		MI0012013 	Two MIR2660 loci in miRBase 19 map to one locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0005635	mtr-MIR171g 		MI0005619 	Two MIR171 sequences map to the same locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0011859	mtr-MIR2606c 		MI0011858 	Two MIR2606 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0012044	mtr-MIR2675b 		MI0012043 	Two MIR2675 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly, so are merged in miRBase 20. 
MI0005633	mtr-MIR395r 		MI0005079 	Some of the MIR395 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20. 
MI0005078	mtr-MIR395k 		MI0005073 	Some of the MIR395 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20. 
MI0005598	mtr-MIR395q 		MI0005071 	Some of the MIR395 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised and merged in miRBase 20. 
MI0018483	mtr-MIR5219b 		MI0018283 	Two MIR5219 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are merged in miRBase 20. 
MI0018287	mtr-MIR5223b 		MI0018286 	Two MIR5223 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are merged in miRBase 20. 
MI0018263	mtr-MIR2592aa 		MI0018262 	Some MIR2592 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised, merged and renamed in miRBase 20. 
MI0018269	mtr-MIR2592ag 		MI0018268 	Some MIR2592 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised, merged and renamed in miRBase 20. 
MI0018273	mtr-MIR2592ak 		MI0018274 	Some MIR2592 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised, merged and renamed in miRBase 20. 
MI0018311	mtr-MIR2592bh 		MI0018300 	Some MIR2592 sequences in miRBase 19 map to the same locus in the Mt3.5.2 genome assembly. The entries are rationalised, merged and renamed in miRBase 20. 
MI0019290	hsa-mir-5686 		MI0019290 	The sequence annotated as mir-5686 is a low complexity repeat. There is no support for microRNA processing from available deep sequencing data. 
MI0020982	mse-mir-981-2 		MI0021023 	Two annotated mir-981 loci map to the same locus in the Msex 1.0 genome assembly, so are merged. 
MI0002211	ptc-MIR162c 		MI0002210 	Two MIR162 loci from miRBase 19 map to a single location in the JGI v2 genome assembly, so are merged in miRBase 20. 
MI0002389	ptc-MIR479 		MI0007032 	The MIR171l and MIR479 loci from miRBase 19 map to a single location in the JGI v2 genome assembly, so are merged in miRBase 20. 
MI0002395	ptc-MIR481d 		MI0002396 	Five MIR481 sequences in miRBase 19 map to only four loci in the JGI v2 genome assembly. The entries are therefore rationalised in miRBase 20. 
MI0002197	ptc-MIR159c 		MI0002195 	Six MIR159 sequences in miRBase 19 map to only five loci in the JGI v2 genome assembly. The entries are therefore rationalised in miRBase 20. 
MI0002391	ptc-MIR480b 		MI0002390 	Two MIR480 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002382	ptc-MIR478n 		MI0002381 	Six identical MIR478 sequences in miRBase 19 map to only five loci in the JGI v2 genome assembly. The entries are therefore rationalised in miRBase 20. 
MI0022046	ptc-MIR403d 		MI0005115 	Two identical MIR403 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002342	ptc-MIR399e 		MI0002341 	Two identical MIR399 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002340	ptc-MIR399c 		MI0002339 	Two identical MIR399 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002312	ptc-MIR393d 		MI0002311 	Two identical MIR393 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002367	ptc-MIR476c 		MI0002366 	Two identical MIR476 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0002286	ptc-MIR171j 		MI0005114 	Two identical MIR171 sequences in miRBase 19 map to only one locus in the JGI v2 genome assembly. The entries are therefore merged in miRBase 20. 
MI0023704	mmu-mir-7209 		MI0009993 	The sequence named mir-7209 in Meunier et al. is a duplicate of mir-1982, so the entries are merged. 
MI0003128	hsa-mir-511-2 		MI0003127 	Two mir-511 sequences in miRBase 19 map to only one locus in the patched GRCh37.p10 genome assembly. The entries are merged in miRBase 20. 
